,2014-06-30,2014-07-31,2014-08-28,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-28,2016-11-30,2016-12-30,2017-01-31,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-28,2018-04-30,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-28,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-27,2020-12-31,2021-01-29,2021-02-26
EICHERMOT,,,,,,,,,,,,,,,,,,,,,,,-0.05942419862983609,-0.1862066088524105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERALBNK,,,,-0.03173528087920628,0.05895560914826553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENMARK,,,,,,,,,,,,,0.12826250223890404,,,,-0.09769241417807226,-0.03900375655647337,,-0.20213117333161543,-0.08493685912217828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,,,,,,,,,,,,,,,,,,,0.018443798818761188,-0.12355213786027645,-0.08051244274825968,,-0.08875433758946047,0.07547567897273388,0.045900425031181975,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25826601923774395,-0.0863449008101435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASIM,,,,,,,,,,,,,,,,,,,,,,,,,,0.01526947863017327,-0.08526174691357709,0.01063058735638059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013167609298510796,0.008022458060008661,-0.018552349000849944,0.03922719126734913,-0.01949335997807779,-0.05945978996856535,0.028299465638104856,-0.21631328642041855,,,,,,,,,,,,,,,,,,,
HCLTECH,-0.07639094909308114,-0.09185017584599565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08077052020531812,-0.09929989662423262,,,,,,-0.06994508895102239,,,,,,,,,,,,,,,,,-0.04476972287814648,0.11731946925645445,-0.04707486686024571,-0.02734626993745679
HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021791712522185046,-0.05801530768232097,,,,,,,,
HDFCLIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0940326217066723,0.0908471022864816,-0.04189786457974838,-0.01917182873195684,-0.23207666391018508,0.13131189656537562,0.06465454673175865,,,,,,,,,
HEROMOTOCO,,,,,,,,,,,,,,,,,,,,,,,,-0.0887766263158464,,-0.15300841865556802,-0.0626206354895868,,-0.17348869461584374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06900730780398733,-0.060473045383283984,0.12652137061394256,-0.1598496940294731,0.16928863055919466,-0.06349162416161762,0.023511618877271188,-0.007028197170288288,-0.029325283056839038,-0.07738080452351022,0.11013729991280936,,,0.07371312529339791,-0.1380869231482698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
