,0,1,2,3,4,5,6,7,8,9
2019-01-31,BAJFINANCE,DMART,HINDUNILVR,BAJAJFINSV,BRITANNIA,HAVELLS,PIDILITIND,DABUR,TCS,ASIANPAINT
2019-02-28,BAJFINANCE,HAVELLS,DABUR,AXISBANK,HINDUNILVR,TCS,INFY,BRITANNIA,RELIANCE,AUROPHARMA
2019-03-28,BAJFINANCE,HAVELLS,TCS,RELIANCE,AXISBANK,DABUR,INFY,TECHM,HINDUNILVR,WIPRO
2019-04-30,BAJFINANCE,AXISBANK,ICICIBANK,RELIANCE,HAVELLS,DRREDDY,SBIN,UPL,BAJAJFINSV,INFY
2019-05-31,DRREDDY,WIPRO,RELIANCE,AUROPHARMA,BAJFINANCE,ICICIBANK,HAVELLS,AXISBANK,UPL,HCLTECH
2019-06-28,UPL,AXISBANK,ICICIBANK,INDIGO,BAJFINANCE,WIPRO,TITAN,BAJAJFINSV,SHREECEM,HAVELLS
2019-07-31,INDIGO,UPL,AXISBANK,TITAN,ICICIBANK,BAJFINANCE,WIPRO,SIEMENS,ABB,SHREECEM
2019-08-30,INDIGO,UPL,ICICIBANK,TITAN,SBILIFE,KOTAKBANK,WIPRO,BAJFINANCE,INFY,SIEMENS
2019-09-30,INDIGO,SBILIFE,BAJFINANCE,TITAN,ICICIBANK,PIDILITIND,ICICIPRULI,UPL,SIEMENS,ASIANPAINT
2019-10-31,INDIGO,BPCL,BAJFINANCE,SIEMENS,HDFCLIFE,BAJAJFINSV,TITAN,SBILIFE,PIDILITIND,ICICIGI
2019-11-29,BPCL,SIEMENS,SBILIFE,ICICIGI,BAJFINANCE,HDFCLIFE,ICICIPRULI,HINDPETRO,TITAN,INDIGO
2019-12-31,SBILIFE,ICICIGI,ICICIPRULI,BAJFINANCE,BHARTIARTL,BPCL,HDFCLIFE,ICICIBANK,SIEMENS,BAJAJFINSV
2020-01-31,ICICIPRULI,HDFCLIFE,BAJFINANCE,SBILIFE,BHARTIARTL,ICICIGI,BPCL,BAJAJFINSV,ICICIBANK,SIEMENS
2020-02-28,SBILIFE,HDFCLIFE,BHARTIARTL,BAJFINANCE,ICICIPRULI,DLF,SIEMENS,ICICIBANK,DMART,BAJAJFINSV
2020-03-31,BHARTIARTL,DMART,BAJFINANCE,HDFCLIFE,SBILIFE,ICICIPRULI,HINDUNILVR,BAJAJFINSV,MCDOWELL-N,SHREECEM
2020-04-30,DMART,BHARTIARTL,HINDUNILVR,HDFCAMC,DIVISLAB,ASIANPAINT,DABUR,PIDILITIND,HDFCLIFE,DRREDDY
2020-05-29,DMART,DIVISLAB,DRREDDY,BHARTIARTL,HDFCAMC,CADILAHC,BIOCON,COLPAL,ASIANPAINT,DABUR
2020-06-30,DMART,DRREDDY,BHARTIARTL,DIVISLAB,CADILAHC,BIOCON,BRITANNIA,ASIANPAINT,COLPAL,AUROPHARMA
2020-07-31,BIOCON,BHARTIARTL,CADILAHC,DMART,DRREDDY,RELIANCE,DIVISLAB,BRITANNIA,AUROPHARMA,HINDUNILVR
2020-08-31,DRREDDY,CADILAHC,BIOCON,RELIANCE,DIVISLAB,BHARTIARTL,CIPLA,AUROPHARMA,BRITANNIA,DMART
2020-09-30,DIVISLAB,BIOCON,CIPLA,CADILAHC,DRREDDY,RELIANCE,BHARTIARTL,AUROPHARMA,SUNPHARMA,BRITANNIA
2020-10-30,DRREDDY,BIOCON,DIVISLAB,AUROPHARMA,CIPLA,CADILAHC,RELIANCE,INFY,HCLTECH,LUPIN
2020-11-27,DIVISLAB,AUROPHARMA,DRREDDY,CADILAHC,CIPLA,INFY,HCLTECH,WIPRO,BIOCON,RELIANCE
2020-12-31,DIVISLAB,AUROPHARMA,CADILAHC,DRREDDY,CIPLA,INFY,HCLTECH,BIOCON,AMBUJACEM,WIPRO
2021-01-29,DIVISLAB,AUROPHARMA,CIPLA,CADILAHC,DRREDDY,INFY,WIPRO,HCLTECH,BIOCON,JSWSTEEL
2021-02-26,CIPLA,TATAMOTORS,HINDZINC,WIPRO,AUROPHARMA,CADILAHC,HCLTECH,INFY,HAVELLS,EICHERMOT
