,0,1,2,3,4,5,6,7,8,9
2019-01-31,BAJFINANCE,NESTLEIND,DIVISLAB,ADANIENT,LTI,DMART,HINDUNILVR,BAJAJFINSV,BRITANNIA,HAVELLS
2019-02-28,BAJFINANCE,NESTLEIND,DIVISLAB,HAVELLS,ABBOTINDIA,DABUR,NAUKRI,AXISBANK,HINDUNILVR,UBL
2019-03-31,NAUKRI,DIVISLAB,ADANIENT,BAJFINANCE,HAVELLS,TORNTPHARM,UBL,TCS,RELIANCE,AXISBANK
2019-04-30,BAJFINANCE,ADANIENT,NAUKRI,AXISBANK,ICICIBANK,RELIANCE,HAVELLS,DIVISLAB,TORNTPHARM,MUTHOOTFIN
2019-05-31,DIVISLAB,ADANIENT,ADANITRANS,MUTHOOTFIN,DRREDDY,NAUKRI,WIPRO,RELIANCE,AUROPHARMA,BAJFINANCE
2019-06-30,ADANIENT,MUTHOOTFIN,NAUKRI,ICICIGI,UPL,ADANIGREEN,PFC,AXISBANK,ICICIBANK,INDIGO
2019-07-31,INDIGO,NAUKRI,MUTHOOTFIN,RECLTD,PFC,UPL,AXISBANK,TITAN,ICICIBANK,ICICIGI
2019-08-31,INDIGO,ICICIGI,MUTHOOTFIN,NAUKRI,PFC,RECLTD,UPL,DIVISLAB,ICICIBANK,HDFCAMC
2019-09-30,INDIGO,HDFCAMC,SBILIFE,RECLTD,ICICIGI,BAJFINANCE,MUTHOOTFIN,ADANITRANS,APOLLOHOSP,NAUKRI
2019-10-31,INDIGO,HDFCAMC,BPCL,BAJFINANCE,MUTHOOTFIN,SIEMENS,HDFCLIFE,BAJAJFINSV,BERGEPAINT,TITAN
2019-11-30,HDFCAMC,ADANIGREEN,BPCL,SIEMENS,SBILIFE,BERGEPAINT,NAUKRI,ICICIGI,MUTHOOTFIN,ABBOTINDIA
2019-12-31,ADANIGREEN,HDFCAMC,NAUKRI,ABBOTINDIA,SBILIFE,ICICIGI,ADANITRANS,IGL,ICICIPRULI,BAJFINANCE
2020-01-31,ADANIGREEN,HDFCAMC,ICICIPRULI,HDFCLIFE,BAJFINANCE,BERGEPAINT,ABBOTINDIA,SBILIFE,BHARTIARTL,TATACONSUM
2020-02-29,ADANIGREEN,HDFCAMC,TATACONSUM,BERGEPAINT,ADANIENT,IGL,SBILIFE,HDFCLIFE,BHARTIARTL,ABBOTINDIA
2020-03-31,ADANIGREEN,ABBOTINDIA,HDFCAMC,BERGEPAINT,TATACONSUM,BHARTIARTL,ADANIENT,DMART,ALKEM,BAJFINANCE
2020-04-30,ADANIGREEN,ABBOTINDIA,DMART,BERGEPAINT,NESTLEIND,TATACONSUM,GSKCONS,BHARTIARTL,ALKEM,HINDUNILVR
2020-05-31,ADANIGREEN,ABBOTINDIA,DMART,NESTLEIND,BERGEPAINT,TORNTPHARM,DIVISLAB,DRREDDY,BHARTIARTL,ALKEM
2020-06-30,ADANIGREEN,ABBOTINDIA,DMART,DRREDDY,BHARTIARTL,BERGEPAINT,TORNTPHARM,DIVISLAB,NESTLEIND,IGL
2020-07-31,ADANIGREEN,ABBOTINDIA,MUTHOOTFIN,BIOCON,BHARTIARTL,IDBI,CADILAHC,DMART,TATACONSUM,IDEA
2020-08-31,ADANIGREEN,RCOM,MUTHOOTFIN,JINDALSTEL,DRREDDY,CADILAHC,BIOCON,ABBOTINDIA,RELIANCE,DIVISLAB
2020-09-30,ADANIGREEN,RCOM,JINDALSTEL,TATACONSUM,ADANIENT,DIVISLAB,MUTHOOTFIN,BIOCON,CIPLA,IDEA
2020-10-31,ADANIGREEN,RCOM,IDEA,DRREDDY,BIOCON,DIVISLAB,AUROPHARMA,CIPLA,MUTHOOTFIN,JINDALSTEL
2020-11-30,ADANIGREEN,MUTHOOTFIN,DIVISLAB,LTI,AUROPHARMA,DRREDDY,CADILAHC,RCOM,JPASSOCIAT,MPHASIS
2020-12-31,ADANIGREEN,DIVISLAB,ADANIENT,AUROPHARMA,JPASSOCIAT,LTI,CADILAHC,RCOM,NAUKRI,DRREDDY
2021-01-31,ADANIGREEN,JPASSOCIAT,RCOM,ADANIENT,IDEA,DIVISLAB,RPOWER,AUROPHARMA,LTI,CIPLA
2021-02-28,ADANIGREEN,JPASSOCIAT,IDEA,RCOM,ADANIENT,LTI,CIPLA,TATAMOTORS,EMAMILTD,HINDZINC
2021-03-31,JPASSOCIAT,ADANIGREEN,ADANIENT,TATAMOTORS,TATAMTRDVR,JINDALSTEL,ADANITRANS,IDFC,IDEA,HINDALCO
2021-04-30,ADANIENT,ADANIGREEN,ADANITRANS,JPASSOCIAT,JINDALSTEL,TATAPOWER,IDFC,TATAMOTORS,TATAMTRDVR,GRASIM
